,Rain,Cint,s,ET,Lk,Q,VegBiomass,AnimalWeight
83,0.0,0.0,0.1557,0.1483,0.0,0.0,1636.97,0.0
84,0.0,0.0,0.1487,0.1216,0.0,0.0,1631.49,0.0
85,0.0,0.0,0.143,0.0997,0.0,0.0,1621.96,0.0
86,0.0,0.0,0.1383,0.0817,0.0,0.0,1609.18,0.0
87,0.0,0.0,0.1345,0.067,0.0,0.0,1593.74,0.0
88,0.0,0.0,0.1313,0.0551,0.0,0.0,1576.21,0.0
89,1.33,0.2739,0.1786,0.2316,0.0,0.0,1594.32,0.0
90,0.0,0.0,0.1676,0.1915,0.0,0.0,1603.68,0.0
91,0.0,0.0,0.1586,0.1579,0.0,0.0,1606.1,0.0
92,0.0,0.0,0.1511,0.1299,0.0,0.0,1602.98,0.0
93,0.0,0.0,0.145,0.1067,0.0,0.0,1595.4,0.0
94,0.0,0.0,0.14,0.0876,0.0,0.0,1584.22,0.0
95,0.0,0.0,0.1358,0.072,0.0,0.0,1570.12,0.0
96,0.0,0.0,0.1324,0.0592,0.0,0.0,1553.65,0.0
97,0.0,0.0,0.1296,0.0498,0.0,0.0,1536.56,0.0
98,0.0,0.0,0.1271,0.0453,0.0,0.0,1519.66,0.0
99,0.0,0.0,0.1249,0.0416,0.0,0.0,1502.94,0.0
100,0.0,0.0,0.1228,0.0381,0.0,0.0,1486.41,0.0
101,0.88,0.2424,0.1516,0.1281,0.0,0.0,1486.1,0.0
102,0.0,0.0,0.1455,0.1062,0.0,0.0,1480.98,0.0
103,0.0,0.0,0.1405,0.0879,0.0,0.0,1471.94,0.0
104,0.0,0.0,0.1363,0.0728,0.0,0.0,1459.7,0.0
105,0.0,0.0,0.1328,0.0604,0.0,0.0,1444.84,0.0
106,0.0,0.0,0.13,0.0507,0.0,0.0,1428.95,0.0
107,0.0,0.0,0.1275,0.0459,0.0,0.0,1413.23,0.0
108,0.0,0.0,0.1252,0.0421,0.0,0.0,1397.69,0.0
109,0.0,0.0,0.1231,0.0386,0.0,0.0,1382.31,0.0
110,0.0,0.0,0.1212,0.0353,0.0,0.0,1367.11,0.0
111,0.0,0.0,0.1194,0.0324,0.0,0.0,1352.07,0.0
112,0.0,0.0,0.1178,0.0297,0.0,0.0,1337.2,0.0
113,0.0,0.0,0.1163,0.0272,0.0,0.0,1322.49,0.0
114,0.0,0.0,0.115,0.025,0.0,0.0,1307.94,0.0
115,0.0,0.0,0.1137,0.0229,0.0,0.0,1293.55,0.0
116,0.0,0.0,0.1126,0.021,0.0,0.0,1279.32,0.0
117,0.0,0.0,0.1115,0.0192,0.0,0.0,1265.25,0.0
118,0.03,0.0122,0.1115,0.0191,0.0,0.0,1251.33,0.0
119,0.0,0.0,0.1105,0.0175,0.0,0.0,1237.57,0.0
120,0.0,0.0,0.1096,0.0161,0.0,0.0,1221.37,120.46
121,0.0,0.0,0.1088,0.0147,0.0,0.0,1205.38,120.91
122,0.0,0.0,0.1081,0.0135,0.0,0.0,1189.61,121.34
123,0.0,0.0,0.1074,0.0124,0.0,0.0,1174.04,121.76
124,0.0,0.0,0.1068,0.0114,0.0,0.0,1158.68,122.16
125,0.0,0.0,0.1062,0.0104,0.0,0.0,1143.53,122.55
126,0.0,0.0,0.1057,0.0095,0.0,0.0,1128.58,122.92
127,1.18,0.2167,0.1524,0.1205,0.0,0.0,1134.26,123.28
128,0.0,0.0,0.1466,0.1024,0.0,0.0,1134.18,123.65
129,3.05,0.2888,0.2765,0.4271,0.0001,0.0,1245.51,124.01
130,0.0,0.0,0.2538,0.4407,0.0,0.0,1341.17,124.49
131,0.0,0.0,0.2317,0.3986,0.0,0.0,1410.37,125.05
132,0.0,0.0,0.2126,0.3404,0.0,0.0,1459.2,125.69
133,0.0,0.0,0.1963,0.2874,0.0,0.0,1492.23,126.38
134,0.0,0.0,0.1826,0.2407,0.0,0.0,1512.88,127.1
135,0.48,0.2189,0.1835,0.2455,0.0,0.0,1533.43,127.85
136,0.73,0.2408,0.195,0.2892,0.0,0.0,1562.01,128.61
137,0.33,0.154,0.1896,0.2715,0.0,0.0,1585.18,129.41
138,0.05,0.0236,0.178,0.2298,0.0,0.0,1598.67,130.23
139,0.0,0.0,0.1671,0.1898,0.0,0.0,1603.59,131.07
140,0.03,0.0143,0.1589,0.159,0.0,0.0,1602.28,131.91
141,4.3,0.4184,0.3438,0.5002,0.0008,0.0,1678.28,132.75
142,0.0,0.0,0.3174,0.512,0.0003,0.0,1748.79,133.6
143,0.0,0.0,0.2904,0.523,0.0001,0.0,1814.2,134.45
144,0.0,0.0,0.2629,0.5332,0.0,0.0,1874.4,135.3
145,0.08,0.0432,0.2377,0.494,0.0,0.0,1914.18,136.15
146,0.0,0.0,0.2144,0.4028,0.0,0.0,1937.83,137.0
147,1.53,0.3351,0.2522,0.5429,0.0,0.0,1982.13,137.85
148,0.0,0.0,0.2259,0.4591,0.0,0.0,2008.64,138.71
149,0.5,0.2871,0.2143,0.4127,0.0,0.0,2027.38,139.57
150,0.0,0.0,0.195,0.3315,0.0,0.0,2034.86,140.43
151,1.95,0.3749,0.2539,0.5601,0.0,0.0,2073.39,141.29
152,0.08,0.0473,0.2282,0.4809,0.0,0.0,2095.93,142.15
153,0.0,0.0,0.2058,0.3849,0.0,0.0,2105.92,143.02
154,0.13,0.0781,0.1903,0.3174,0.0,0.0,2107.73,143.88
155,0.08,0.0481,0.1771,0.2588,0.0,0.0,2102.88,144.75
156,0.0,0.0,0.1651,0.2054,0.0,0.0,2092.17,145.62
157,0.0,0.0,0.1555,0.1629,0.0,0.0,2076.92,146.48
158,0.0,0.0,0.148,0.1292,0.0,0.0,2058.14,147.35
159,0.0,0.0,0.142,0.1026,0.0,0.0,2036.57,148.23
160,0.25,0.1454,0.1421,0.1027,0.0,0.0,2015.37,149.1
161,0.0,0.0,0.1373,0.0818,0.0,0.0,1991.91,149.97
162,0.0,0.0,0.1335,0.0653,0.0,0.0,1966.65,150.85
163,0.3,0.1689,0.1366,0.0782,0.0,0.0,1943.4,151.72
164,1.55,0.3371,0.1896,0.3012,0.0,0.0,1950.83,152.6
165,0.0,0.0,0.1755,0.2424,0.0,0.0,1949.92,153.48
166,0.0,0.0,0.1642,0.1946,0.0,0.0,1942.56,154.36
167,0.33,0.1838,0.1619,0.1848,0.0,0.0,1934.08,155.24
168,1.65,0.3411,0.2144,0.4049,0.0,0.0,1956.14,156.12
169,1.23,0.3211,0.2379,0.5063,0.0,0.0,1990.38,157.0
170,0.1,0.0569,0.2161,0.4186,0.0,0.0,2010.5,157.88
171,1.08,0.3207,0.232,0.4889,0.0,0.0,2038.13,158.76
172,0.13,0.0757,0.2116,0.4045,0.0,0.0,2053.38,159.65
173,0.73,0.3066,0.2125,0.4097,0.0,0.0,2068.29,160.53
174,4.18,0.5125,0.3781,0.5729,0.0023,0.0,2109.88,161.41
175,0.0,0.0,0.3481,0.5794,0.0009,0.0,2148.45,162.3
176,0.03,0.0184,0.3183,0.5854,0.0003,0.0,2184.22,163.18
177,0.0,0.0,0.2876,0.591,0.0001,0.0,2217.39,164.07
178,0.98,0.3467,0.2897,0.5962,0.0001,0.0,2248.14,164.95
179,0.7,0.3338,0.2776,0.601,0.0001,0.0,2276.65,165.84
180,0.05,0.0325,0.2473,0.5826,0.0,0.0,2295.01,166.72
181,0.9,0.3542,0.2454,0.5801,0.0,0.0,2311.35,167.61
182,0.05,0.033,0.219,0.4683,0.0,0.0,2316.0,168.49
183,0.0,0.0,0.1974,0.3672,0.0,0.0,2311.76,169.38
184,0.03,0.0198,0.1809,0.2896,0.0,0.0,2301.09,170.27
185,0.0,0.0,0.1676,0.2264,0.0,0.0,2285.33,171.15
186,5.2,0.6334,0.3837,0.6068,0.0028,0.0,2310.98,172.04
187,0.48,0.3172,0.3604,0.6108,0.0013,0.0,2334.76,172.92
188,1.95,0.431,0.4074,0.6145,0.0056,0.0,2356.79,173.81
189,0.0,0.0,0.3751,0.618,0.0021,0.0,2377.22,174.69
190,3.83,0.5677,0.5103,0.6211,0.0785,0.0,2396.14,175.58
191,0.0,0.0,0.4751,0.6241,0.0339,0.0,2413.68,176.46
192,0.0,0.0,0.4414,0.6268,0.0143,0.0,2429.93,177.35
193,0.0,0.0,0.4082,0.6294,0.0057,0.0,2444.98,178.23
194,0.0,0.0,0.3751,0.6317,0.0021,0.0,2458.92,179.11
195,0.0,0.0,0.3421,0.6339,0.0007,0.0,2471.83,180.0
196,0.0,0.0,0.309,0.6359,0.0002,0.0,2483.79,180.88
197,1.2,0.4082,0.3171,0.6378,0.0003,0.0,2494.85,181.76
198,0.0,0.0,0.2838,0.6395,0.0001,0.0,2505.1,182.64
199,0.0,0.0,0.2506,0.6239,0.0,0.0,2509.26,183.52
200,0.13,0.0942,0.2227,0.51,0.0,0.0,2504.42,184.4
201,0.58,0.3673,0.2091,0.4421,0.0,0.0,2495.57,185.28
202,0.8,0.3816,0.2081,0.4359,0.0,0.0,2486.77,186.16
203,0.0,0.0,0.1881,0.3367,0.0,0.0,2471.96,187.03
204,0.28,0.1994,0.1764,0.278,0.0,0.0,2453.85,187.91
205,0.0,0.0,0.1637,0.2148,0.0,0.0,2432.01,188.78
206,0.0,0.0,0.1538,0.166,0.0,0.0,2407.32,189.66
207,0.0,0.0,0.1462,0.1285,0.0,0.0,2380.41,190.53
208,0.0,0.0,0.1403,0.0997,0.0,0.0,2351.79,191.4
209,0.0,0.0,0.1358,0.0776,0.0,0.0,2321.82,192.27
210,0.55,0.3354,0.1421,0.1071,0.0,0.0,2294.71,193.14
211,0.0,0.0,0.1371,0.0836,0.0,0.0,2266.0,194.01
212,0.13,0.0841,0.1354,0.0753,0.0,0.0,2236.93,194.87
213,0.08,0.0511,0.1333,0.0653,0.0,0.0,2207.27,195.74
214,0.0,0.0,0.1302,0.0519,0.0,0.0,2177.09,196.6
215,0.0,0.0,0.1277,0.0463,0.0,0.0,2147.22,197.46
216,0.0,0.0,0.1254,0.0424,0.0,0.0,2117.65,198.32
217,0.0,0.0,0.1233,0.0389,0.0,0.0,2088.38,199.18
218,0.0,0.0,0.1214,0.0357,0.0,0.0,2059.41,200.04
219,0.05,0.0294,0.1206,0.0344,0.0,0.0,2030.73,200.89
220,0.0,0.0,0.1189,0.0315,0.0,0.0,2002.34,201.75
221,0.0,0.0,0.1173,0.0289,0.0,0.0,1974.23,202.6
222,0.0,0.0,0.1159,0.0265,0.0,0.0,1946.41,203.45
223,0.0,0.0,0.1146,0.0243,0.0,0.0,1918.87,204.3
224,0.23,0.1267,0.1185,0.0309,0.0,0.0,1891.61,205.14
225,1.65,0.3345,0.1792,0.2544,0.0,0.0,1893.27,205.99
226,0.05,0.0272,0.1684,0.2096,0.0,0.0,1888.37,206.83
227,0.78,0.2867,0.1817,0.2643,0.0,0.0,1891.56,207.67
228,0.35,0.1903,0.1768,0.2442,0.0,0.0,1891.67,208.51
229,0.05,0.0272,0.1664,0.2013,0.0,0.0,1885.56,209.35
230,0.0,0.0,0.157,0.1621,0.0,0.0,1873.94,210.18
231,0.03,0.0162,0.1501,0.1331,0.0,0.0,1858.37,211.02
232,0.0,0.0,0.1439,0.1072,0.0,0.0,1839.26,211.85
233,0.0,0.0,0.1389,0.0864,0.0,0.0,1817.32,212.67
234,0.0,0.0,0.1348,0.0698,0.0,0.0,1793.12,213.5
235,0.0,0.0,0.1316,0.0565,0.0,0.0,1767.09,214.32
236,0.0,0.0,0.1289,0.0482,0.0,0.0,1741.2,215.14
237,0.03,0.0152,0.1272,0.0454,0.0,0.0,1715.57,215.96
238,0.0,0.0,0.1249,0.0416,0.0,0.0,1690.19,216.78
239,0.0,0.0,0.1229,0.0382,0.0,0.0,1665.07,217.59
240,0.0,0.0,0.121,0.035,0.0,0.0,1640.2,218.41
241,0.0,0.0,0.1192,0.0321,0.0,0.0,1615.58,219.22
242,0.0,0.0,0.1176,0.0294,0.0,0.0,1591.21,220.02
243,0.0,0.0,0.1162,0.027,0.0,0.0,1567.14,220.81
244,0.0,0.0,0.1148,0.0247,0.0,0.0,1543.43,221.57
245,0.0,0.0,0.1136,0.0227,0.0,0.0,1520.08,222.3
246,0.0,0.0,0.1124,0.0208,0.0,0.0,1497.09,223.0
247,0.0,0.0,0.1114,0.0191,0.0,0.0,1474.46,223.66
248,0.0,0.0,0.1105,0.0175,0.0,0.0,1452.18,224.3
249,0.15,0.0665,0.1138,0.023,0.0,0.0,1430.24,224.91
250,0.53,0.2208,0.128,0.0468,0.0,0.0,1408.65,225.49
251,0.03,0.013,0.1265,0.0443,0.0,0.0,1387.39,226.03
252,0.0,0.0,0.1243,0.0406,0.0,0.0,1366.47,226.56
253,0.0,0.0,0.1223,0.0372,0.0,0.0,1345.88,227.05
254,0.0,0.0,0.1204,0.0341,0.0,0.0,1325.61,227.51
255,0.25,0.1045,0.126,0.0434,0.0,0.0,1305.66,227.95
256,0.0,0.0,0.1238,0.0398,0.0,0.0,1286.03,228.37
257,0.0,0.0,0.1218,0.0365,0.0,0.0,1266.71,228.76
258,0.0,0.0,0.12,0.0334,0.0,0.0,1247.69,229.12
259,0.1,0.0403,0.1213,0.0356,0.0,0.0,1228.98,229.46
260,0.3,0.1199,0.1285,0.0476,0.0,0.0,1210.58,229.77
261,0.3,0.1189,0.135,0.0663,0.0,0.0,1195.82,230.06
262,0.1,0.0394,0.1347,0.0653,0.0,0.0,1181.08,230.33
263,0.0,0.0,0.1316,0.0552,0.0,0.0,1163.64,230.58
264,0.08,0.031,0.1313,0.0542,0.0,0.0,1146.28,230.81
265,0.48,0.1846,0.1428,0.0908,0.0,0.0,1140.26,231.02
266,0.1,0.0384,0.1414,0.0863,0.0,0.0,1133.02,231.22
267,0.03,0.0115,0.1382,0.076,0.0,0.0,1122.78,231.41
268,0.0,0.0,0.1345,0.0644,0.0,0.0,1109.19,231.58
269,0.0,0.0,0.1315,0.0547,0.0,0.0,1092.81,231.74
270,0.03,0.0113,0.1297,0.0499,0.0,0.0,1076.59,231.88
271,0.0,0.0,0.1272,0.0455,0.0,0.0,1060.64,232.0
272,0.0,0.0,0.125,0.0417,0.0,0.0,1044.95,232.09
273,0.0,0.0,0.1229,0.0382,0.0,0.0,1029.51,232.17
274,0.0,0.0,0.121,0.0351,0.0,0.0,1014.33,232.23
275,0.05,0.0181,0.1208,0.0348,0.0,0.0,999.4,232.27
276,0.0,0.0,0.1191,0.0319,0.0,0.0,984.71,232.29
277,0.0,0.0,0.1175,0.0292,0.0,0.0,970.26,232.29
278,0.0,0.0,0.1161,0.0268,0.0,0.0,956.05,232.28
279,0.0,0.0,0.1147,0.0246,0.0,0.0,942.08,232.25
280,0.0,0.0,0.1135,0.0225,0.0,0.0,928.33,232.2
281,0.0,0.0,0.1124,0.0207,0.0,0.0,914.82,232.13
282,0.03,0.0104,0.1123,0.0206,0.0,0.0,901.52,232.05
283,0.0,0.0,0.1113,0.0189,0.0,0.0,888.45,231.95
284,0.0,0.0,0.1104,0.0173,0.0,0.0,875.59,231.84
285,0.3,0.1018,0.1194,0.0323,0.0,0.0,862.95,231.71
286,0.0,0.0,0.1178,0.0297,0.0,0.0,850.51,231.57
287,0.0,0.0,0.1163,0.0272,0.0,0.0,838.28,231.41
288,0.0,0.0,0.1149,0.0249,0.0,0.0,826.25,231.23
289,0.18,0.0597,0.1197,0.0329,0.0,0.0,814.43,231.04
290,0.08,0.0264,0.1207,0.0346,0.0,0.0,802.8,230.84
291,0.0,0.0,0.119,0.0317,0.0,0.0,791.36,230.63
292,0.0,0.0,0.1174,0.0291,0.0,0.0,780.11,230.4
293,0.0,0.0,0.116,0.0267,0.0,0.0,769.05,230.16
294,0.0,0.0,0.1146,0.0244,0.0,0.0,758.18,229.9
295,0.0,0.0,0.1134,0.0224,0.0,0.0,747.48,229.64
296,0.43,0.1374,0.1269,0.0449,0.0,0.0,736.97,229.36
297,0.0,0.0,0.1246,0.0411,0.0,0.0,726.62,229.07
298,0.0,0.0,0.1226,0.0377,0.0,0.0,716.45,228.77
299,0.55,0.1591,0.1399,0.076,0.0,0.0,716.62,228.45
300,0.0,0.0,0.1362,0.0664,0.0,0.0,712.41,228.14
301,0.0,0.0,0.133,0.058,0.0,0.0,704.47,227.82
302,0.0,0.0,0.1302,0.0508,0.0,0.0,694.67,227.5
303,0.0,0.0,0.1277,0.0462,0.0,0.0,685.04,227.16
304,0.0,0.0,0.1254,0.0424,0.0,0.0,675.57,226.82
305,0.0,0.0,0.1233,0.0388,0.0,0.0,666.25,226.46
306,0.0,0.0,0.1213,0.0356,0.0,0.0,657.09,226.09
307,0.0,0.0,0.1195,0.0326,0.0,0.0,648.08,225.72
308,0.0,0.0,0.1179,0.0299,0.0,0.0,639.22,225.33
309,0.0,0.0,0.1164,0.0274,0.0,0.0,630.51,224.93
310,0.0,0.0,0.1151,0.0252,0.0,0.0,621.94,224.53
311,0.0,0.0,0.1138,0.0231,0.0,0.0,613.52,224.11
312,0.0,0.0,0.1127,0.0211,0.0,0.0,605.23,223.69
313,0.0,0.0,0.1116,0.0194,0.0,0.0,597.09,223.25
314,0.0,0.0,0.1106,0.0178,0.0,0.0,589.07,222.81
315,0.03,0.0089,0.1108,0.018,0.0,0.0,581.19,222.36
316,0.0,0.0,0.1099,0.0165,0.0,0.0,573.45,221.91
317,0.0,0.0,0.1091,0.0152,0.0,0.0,565.82,221.44
318,0.0,0.0,0.1083,0.0139,0.0,0.0,558.33,220.97
319,0.0,0.0,0.1076,0.0127,0.0,0.0,550.96,220.49
320,0.0,0.0,0.107,0.0117,0.0,0.0,543.71,220.0
321,0.0,0.0,0.1064,0.0107,0.0,0.0,536.58,219.5
322,0.0,0.0,0.1059,0.0098,0.0,0.0,529.57,219.0
323,0.0,0.0,0.1054,0.009,0.0,0.0,522.67,218.49
324,0.0,0.0,0.1049,0.0083,0.0,0.0,515.89,217.98
325,0.0,0.0,0.1045,0.0076,0.0,0.0,509.22,217.45
326,0.0,0.0,0.1042,0.0069,0.0,0.0,502.66,216.92
327,0.0,0.0,0.1038,0.0064,0.0,0.0,496.2,216.39
328,0.0,0.0,0.1035,0.0058,0.0,0.0,489.86,215.85
329,0.0,0.0,0.1032,0.0053,0.0,0.0,483.61,215.3
330,0.0,0.0,0.1029,0.0049,0.0,0.0,477.47,214.75
331,0.0,0.0,0.1027,0.0045,0.0,0.0,471.43,214.19
332,0.0,0.0,0.1025,0.0041,0.0,0.0,465.49,213.62
333,0.0,0.0,0.1023,0.0038,0.0,0.0,459.64,213.05
334,0.0,0.0,0.1021,0.0035,0.0,0.0,453.89,212.48
335,0.0,0.0,0.1019,0.0032,0.0,0.0,448.24,211.9
336,0.0,0.0,0.1017,0.0029,0.0,0.0,442.67,211.32
337,0.0,0.0,0.1016,0.0027,0.0,0.0,437.2,210.73
338,0.0,0.0,0.1015,0.0024,0.0,0.0,431.81,210.13
339,0.0,0.0,0.1013,0.0022,0.0,0.0,426.52,209.53
340,0.0,0.0,0.1012,0.0021,0.0,0.0,421.31,208.93
341,0.0,0.0,0.1011,0.0019,0.0,0.0,416.18,208.32
342,0.0,0.0,0.101,0.0017,0.0,0.0,411.13,207.71
343,0.25,0.0683,0.11,0.0167,0.0,0.0,406.17,207.09
344,0.3,0.0818,0.12,0.0335,0.0,0.0,401.29,206.47
345,0.2,0.0544,0.1256,0.0428,0.0,0.0,396.48,205.85
346,0.0,0.0,0.1235,0.0392,0.0,0.0,391.75,205.22
347,0.0,0.0,0.1215,0.036,0.0,0.0,387.1,204.59
348,0.0,0.0,0.1198,0.033,0.0,0.0,382.53,203.96
349,0.0,0.0,0.1181,0.0302,0.0,0.0,378.02,203.32
350,0.0,0.0,0.1166,0.0277,0.0,0.0,373.59,202.68
351,0.15,0.0403,0.1207,0.0345,0.0,0.0,369.23,202.03
352,0.0,0.0,0.119,0.0317,0.0,0.0,364.93,201.39
353,0.0,0.0,0.1174,0.029,0.0,0.0,360.71,200.74
354,0.0,0.0,0.1159,0.0266,0.0,0.0,356.55,200.08
355,0.0,0.0,0.1146,0.0244,0.0,0.0,352.46,199.43
356,0.0,0.0,0.1134,0.0224,0.0,0.0,348.43,198.77
357,0.0,0.0,0.1123,0.0205,0.0,0.0,344.47,198.11
358,0.0,0.0,0.1113,0.0188,0.0,0.0,340.57,197.44
359,0.0,0.0,0.1103,0.0172,0.0,0.0,336.73,196.78
360,0.0,0.0,0.1095,0.0158,0.0,0.0,332.95,196.11
361,0.0,0.0,0.1087,0.0145,0.0,0.0,329.23,195.44
362,0.0,0.0,0.108,0.0133,0.0,0.0,325.57,194.76
363,0.0,0.0,0.1073,0.0122,0.0,0.0,321.96,194.09
364,0.0,0.0,0.1067,0.0112,0.0,0.0,318.41,193.41
